axis,value
GINA PARODY ALCALDESA,376154
MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA MIRA,59099
AUTORIDADES INDIGENAS DE COLOMBIA AICO,10066
PARTIDO CAMBIO RADICAL,285263
PARTIDO DE INTEGRACION NACIONAL,28589
PARTIDO LIBERAL COLOMBIANO,92922
PARTIDO VERDE,560590
POLO DEMOCRATICO ALTERNATIVO,31623
PROGRESISTAS,723157
VOTOS BLANCOS,76562
VOTOS NO MARCADOS,33662
VOTOS NULOS,47687
